d_model,n_heads,n_layers,dropout,patch_len,learning_rate,best_val_acc,best_val_loss,epochs_trained,model_config
64,2,3,0.1,4,0.001,28.043478260869566,0.06834100559353828,11,"{'n_features': 17, 'seq_len': 20, 'pred_len': 5, 'patch_len': 4, 'stride': 2, 'd_model': 64, 'n_heads': 2, 'n_layers': 3, 'd_ff': 128, 'dropout': 0.1, 'head_type': 'regression', 'use_revin': True}"
64,2,1,0.1,4,0.001,28.043478260869566,0.05127270705997944,11,"{'n_features': 17, 'seq_len': 20, 'pred_len': 5, 'patch_len': 4, 'stride': 2, 'd_model': 64, 'n_heads': 2, 'n_layers': 1, 'd_ff': 128, 'dropout': 0.1, 'head_type': 'regression', 'use_revin': True}"
64,2,3,0.1,10,0.0005,28.043478260869566,0.011810732074081898,17,"{'n_features': 17, 'seq_len': 20, 'pred_len': 5, 'patch_len': 10, 'stride': 5, 'd_model': 64, 'n_heads': 2, 'n_layers': 3, 'd_ff': 128, 'dropout': 0.1, 'head_type': 'regression', 'use_revin': True}"
32,2,1,0.2,5,0.0005,28.043478260869566,0.07447780296206474,11,"{'n_features': 17, 'seq_len': 20, 'pred_len': 5, 'patch_len': 5, 'stride': 2, 'd_model': 32, 'n_heads': 2, 'n_layers': 1, 'd_ff': 64, 'dropout': 0.2, 'head_type': 'regression', 'use_revin': True}"
64,8,1,0.1,4,0.001,28.043478260869566,0.025823328644037247,13,"{'n_features': 17, 'seq_len': 20, 'pred_len': 5, 'patch_len': 4, 'stride': 2, 'd_model': 64, 'n_heads': 8, 'n_layers': 1, 'd_ff': 128, 'dropout': 0.1, 'head_type': 'regression', 'use_revin': True}"
64,2,2,0.2,4,0.001,28.043478260869566,0.009826360270380974,18,"{'n_features': 17, 'seq_len': 20, 'pred_len': 5, 'patch_len': 4, 'stride': 2, 'd_model': 64, 'n_heads': 2, 'n_layers': 2, 'd_ff': 128, 'dropout': 0.2, 'head_type': 'regression', 'use_revin': True}"
128,2,1,0.1,5,0.0005,28.043478260869566,0.003109423676505685,23,"{'n_features': 17, 'seq_len': 20, 'pred_len': 5, 'patch_len': 5, 'stride': 2, 'd_model': 128, 'n_heads': 2, 'n_layers': 1, 'd_ff': 256, 'dropout': 0.1, 'head_type': 'regression', 'use_revin': True}"
64,8,2,0.1,10,0.001,28.043478260869566,0.008675124030560255,13,"{'n_features': 17, 'seq_len': 20, 'pred_len': 5, 'patch_len': 10, 'stride': 5, 'd_model': 64, 'n_heads': 8, 'n_layers': 2, 'd_ff': 128, 'dropout': 0.1, 'head_type': 'regression', 'use_revin': True}"
128,4,2,0.1,5,0.001,28.043478260869566,0.0549235288053751,11,"{'n_features': 17, 'seq_len': 20, 'pred_len': 5, 'patch_len': 5, 'stride': 2, 'd_model': 128, 'n_heads': 4, 'n_layers': 2, 'd_ff': 256, 'dropout': 0.1, 'head_type': 'regression', 'use_revin': True}"
64,4,1,0.1,4,0.001,28.043478260869566,0.0624618586152792,11,"{'n_features': 17, 'seq_len': 20, 'pred_len': 5, 'patch_len': 4, 'stride': 2, 'd_model': 64, 'n_heads': 4, 'n_layers': 1, 'd_ff': 128, 'dropout': 0.1, 'head_type': 'regression', 'use_revin': True}"
64,4,3,0.2,10,0.0005,28.043478260869566,0.004470921820029616,13,"{'n_features': 17, 'seq_len': 20, 'pred_len': 5, 'patch_len': 10, 'stride': 5, 'd_model': 64, 'n_heads': 4, 'n_layers': 3, 'd_ff': 128, 'dropout': 0.2, 'head_type': 'regression', 'use_revin': True}"
64,4,2,0.2,5,0.001,28.043478260869566,0.020148104056715965,13,"{'n_features': 17, 'seq_len': 20, 'pred_len': 5, 'patch_len': 5, 'stride': 2, 'd_model': 64, 'n_heads': 4, 'n_layers': 2, 'd_ff': 128, 'dropout': 0.2, 'head_type': 'regression', 'use_revin': True}"
128,2,1,0.2,10,0.001,28.043478260869566,0.006275983760133386,15,"{'n_features': 17, 'seq_len': 20, 'pred_len': 5, 'patch_len': 10, 'stride': 5, 'd_model': 128, 'n_heads': 2, 'n_layers': 1, 'd_ff': 256, 'dropout': 0.2, 'head_type': 'regression', 'use_revin': True}"
64,2,2,0.1,10,0.001,28.043478260869566,0.003210208611562848,20,"{'n_features': 17, 'seq_len': 20, 'pred_len': 5, 'patch_len': 10, 'stride': 5, 'd_model': 64, 'n_heads': 2, 'n_layers': 2, 'd_ff': 128, 'dropout': 0.1, 'head_type': 'regression', 'use_revin': True}"
