date,open,high,low,close,volume
2023-01-06,11.78,11.2,11.78,11.24,73556425
2023-01-09,11.44,11.36,12.18,12.1,153533290
2023-01-10,12.1,11.9,12.16,11.98,59017961
2023-01-11,12.12,11.64,12.18,11.74,87323242
2023-01-12,11.74,11.52,11.92,11.78,55226443
2023-01-13,11.78,11.64,12.0,11.96,47427580
2023-01-16,12.04,11.78,12.24,11.88,77872795
2023-01-17,11.82,11.6,12.0,11.72,46066888
2023-01-18,11.7,11.62,12.0,11.9,61959126
2023-01-19,11.7,11.52,11.8,11.58,40628591
2023-01-20,11.56,11.56,11.9,11.86,35943876
2023-01-26,12.1,12.0,13.4,13.34,154903684
2023-01-27,13.26,13.26,13.78,13.46,109472891
2023-01-30,13.42,12.62,13.46,12.7,161324229
2023-01-31,12.72,12.7,13.08,12.92,117950802
2023-02-01,12.96,12.86,13.5,13.5,131222555
2023-02-02,13.56,13.56,14.1,13.68,155840025
2023-02-03,13.62,13.32,13.68,13.48,63211494
2023-02-06,13.2,12.72,13.3,12.82,108018475
2023-02-07,12.9,12.7,13.1,12.84,58909026
2023-02-08,12.82,12.4,13.06,12.46,94201792
2023-02-09,12.44,12.42,13.68,13.52,175278492
2023-02-10,13.32,12.96,13.58,13.08,144568255
2023-02-13,12.8,12.7,13.4,13.14,94004353
2023-02-14,13.2,12.98,13.24,13.02,35257461
2023-02-15,13.02,12.8,13.32,13.04,64885344
2023-02-16,13.12,13.02,13.48,13.14,74662669
2023-02-17,13.1,12.66,13.22,12.7,75713458
2023-02-20,12.64,12.64,13.08,12.84,46286725
2023-02-21,12.9,12.5,13.02,12.56,62268840
2023-02-22,12.56,12.08,12.66,12.24,86113597
2023-02-23,12.42,12.1,12.44,12.14,53332904
2023-02-24,12.06,11.96,12.34,12.0,76140115
2023-02-27,11.86,11.64,12.0,11.86,78381408
2023-02-28,11.94,11.76,12.2,11.86,67656036
2023-03-01,11.88,11.86,12.68,12.6,85423517
2023-03-02,12.36,12.36,12.72,12.52,59850698
2023-03-03,12.84,12.44,12.84,12.62,42967550
2023-03-06,12.42,12.36,12.66,12.5,51800047
2023-03-07,12.42,12.3,12.8,12.52,49693351
2023-03-08,12.36,11.82,12.36,12.0,95668955
2023-03-09,12.0,11.78,12.08,11.8,43262911
2023-03-10,11.56,11.22,11.7,11.36,174828294
2023-03-13,11.42,11.42,11.76,11.54,84770834
2023-03-14,11.5,10.94,11.5,11.0,93481420
2023-03-15,11.2,10.86,11.34,10.92,111444518
